订单 ID,订单日期,发货日期,产品名称,类别,子类别,客户名称,细分,国家,地区,城市,省/自治区,邮寄方式,销售额,利润,折扣,数量
CN-2016-3189070,2016/7/8,2016/7/13,"Smead 盘, 单宽度",办公用品,收纳具,白德伟,消费者,中国,华北,唐山,河北,标准级,679,129,0%,3
CN-2016-1349856,2016/7/8,2016/7/13,"摩托罗拉 办公室电话机, 蓝色",技术,电话,彭绅,公司,中国,华北,北京,北京,二级,"3,349",0,0%,10
US-2016-4200185,2016/7/8,2016/7/13,"摩托罗拉 智能手机, 全尺寸",技术,电话,邓惠,消费者,中国,东北,沈阳,辽宁,标准级,"1,835","-1,010",40%,5
CN-2016-3189070,2016/7/8,2016/7/13,"Memorex 键区, 回收",技术,配件,白德伟,消费者,中国,华北,唐山,河北,标准级,"1,606",193,0%,8
CN-2016-3028018,2016/7/9,2016/7/13,"Avery 打孔机, 回收",办公用品,装订机,范谙,消费者,中国,华东,杭州,浙江,标准级,158,-92,40%,2
US-2016-5835259,2016/7/10,2016/7/10,"Cuisinart 咖啡研磨机, 银色",办公用品,器具,徐健,公司,中国,中南,黄州,湖北,当日,331,-182,40%,3
CN-2016-3550359,2016/7/11,2016/7/11,"Eldon 盒, 金属",办公用品,收纳具,严珑,小型企业,中国,中南,晋江,海南,当日,218,78,0%,5
CN-2016-3550359,2016/7/11,2016/7/11,"Bevis 咖啡桌, 组装",家具,桌子,严珑,小型企业,中国,中南,晋江,海南,当日,"3,356",537,25%,3
CN-2016-4836537,2016/7/11,2016/7/16,"Acme 剪刀, 钢",办公用品,用品,孔关茵,公司,中国,东北,宜春,黑龙江,标准级,811,300,0%,7
CN-2016-5922906,2016/7/11,2016/7/17,"Eldon 盒, 单宽度",办公用品,收纳具,陶盛,消费者,中国,中南,广州,广东,标准级,48,6,0%,1
CN-2016-5922906,2016/7/11,2016/7/17,"Sauder 搁架, 黑色",家具,书架,陶盛,消费者,中国,中南,广州,广东,标准级,914,402,0%,1
CN-2016-2146974,2016/7/12,2016/7/16,"Ames 搭扣信封, 每套 50 个",办公用品,信封,袁保,公司,中国,东北,沈阳,辽宁,二级,67,29,0%,2
CN-2016-2146974,2016/7/12,2016/7/16,"Hon 有色标签, 可调",办公用品,标签,袁保,公司,中国,东北,沈阳,辽宁,二级,300,90,0%,6
CN-2016-2146974,2016/7/12,2016/7/16,"施乐 备忘录便条, 每包 12 个",办公用品,纸张,袁保,公司,中国,东北,沈阳,辽宁,二级,247,123,0%,3
CN-2016-2146974,2016/7/12,2016/7/16,"Novimex 摇椅, 黑色",家具,椅子,袁保,公司,中国,东北,沈阳,辽宁,二级,361,-193,40%,1
CN-2016-2146974,2016/7/12,2016/7/16,"三星 音频基座, 蓝色",技术,电话,袁保,公司,中国,东北,沈阳,辽宁,二级,"1,401",-584,40%,3
US-2016-5364655,2016/7/12,2016/7/18,"Stockwell 订书钉, 每包 12 个",办公用品,系固件,王嘉丽,公司,中国,华东,淮阴,江苏,标准级,143,-91,40%,5
US-2016-5364655,2016/7/12,2016/7/18,"施乐 信纸, 多色",办公用品,纸张,王嘉丽,公司,中国,华东,淮阴,江苏,标准级,433,208,0%,2
CN-2016-4190541,2016/7/12,2016/7/18,"BIC 钢笔, 整包",办公用品,美术,曾康,消费者,中国,华东,莆田,福建,标准级,136,12,0%,2
